numitems,bitsperitem,algorithm,numbins,instance_id,diff,runtime
12,16,recursive-number-partitioning-sy,3,7,211.0,0.01540489999999295
12,16,recursive-number-partitioning-sy,3,8,546.0,0.008782599999989316
12,16,recursive-number-partitioning-sy,3,9,1149.0,0.03411760000000186
12,16,recursive-number-partitioning-sy,4,0,8389.0,0.0909671000000003
12,16,recursive-number-partitioning-sy,4,1,2810.0,0.05741510000001426
12,16,recursive-number-partitioning-sy,4,2,4338.0,0.07425810000000865
12,16,recursive-number-partitioning-sy,4,3,6696.0,0.12235229999998865
12,16,recursive-number-partitioning-sy,4,4,998.0,0.08969079999999963
12,16,recursive-number-partitioning-sy,4,5,953.0,0.03589339999999197
12,16,recursive-number-partitioning-sy,4,6,3502.0,0.061308100000019294
12,16,recursive-number-partitioning-sy,4,7,7453.0,0.09439539999999624
12,16,recursive-number-partitioning-sy,4,8,6891.0,0.09017629999999599
12,16,recursive-number-partitioning-sy,4,9,4150.0,0.14573189999998704
12,20,recursive-number-partitioning-kg,2,0,859.0,0.006752599999998665
12,20,recursive-number-partitioning-kg,2,1,31942.0,0.009827099999995426
12,20,recursive-number-partitioning-kg,2,2,7999.0,0.007472900000010441
12,20,recursive-number-partitioning-kg,2,3,7097.0,0.01221119999999587
12,20,recursive-number-partitioning-kg,2,4,2307.0,0.008320699999984527
12,20,recursive-number-partitioning-kg,2,5,2030.0,0.012593599999974003
12,20,recursive-number-partitioning-kg,2,6,84696.0,0.012410999999985961
12,20,recursive-number-partitioning-kg,2,7,2065.0,0.008755500000006577
12,20,recursive-number-partitioning-kg,2,8,1599.0,0.01023460000001819
12,20,recursive-number-partitioning-kg,2,9,7605.0,0.0076698999999962325
12,20,recursive-number-partitioning-sy,2,0,2452.0,0.012842799999987164
12,20,recursive-number-partitioning-sy,2,1,280.0,0.006953899999984969
12,20,recursive-number-partitioning-sy,2,2,348.0,0.01065900000000397
12,20,recursive-number-partitioning-sy,2,3,340.0,0.01894300000000726
12,20,recursive-number-partitioning-sy,2,4,1805.0,0.017198000000007596
12,20,recursive-number-partitioning-sy,2,5,508.0,0.01736399999998639
12,20,recursive-number-partitioning-sy,2,6,340.0,0.013173500000021932
12,20,recursive-number-partitioning-sy,2,7,1006.0,0.018172699999979613
12,20,recursive-number-partitioning-sy,2,8,1907.0,0.01996150000002217
12,20,recursive-number-partitioning-sy,2,9,258.0,0.01139410000001817
12,20,recursive-number-partitioning-sy,3,0,57454.0,0.020555000000001655
12,20,recursive-number-partitioning-sy,3,1,5044.0,0.012872500000014497
12,20,recursive-number-partitioning-sy,3,2,5859.0,0.0763095000000078
12,20,recursive-number-partitioning-sy,3,3,9390.0,0.02870240000001445
12,20,recursive-number-partitioning-sy,3,4,2601.0,0.05318750000000705
