numitems,bitsperitem,instance_id,objective,use_boolean_matrix,diff,runtime
14,16,4,maximize-smallest-sum,False,2,0.012517199999933837
14,16,5,minimize-largest-sum,False,20,0.012260000000082982
14,16,5,maximize-smallest-sum,False,39,0.011946500000021842
14,16,6,minimize-largest-sum,False,4,0.01179160000003776
14,16,6,maximize-smallest-sum,False,27,0.012388699999974051
14,16,7,minimize-largest-sum,False,14,0.012440800000035779
14,16,7,maximize-smallest-sum,False,10,0.012575099999935446
14,16,8,minimize-largest-sum,False,23,0.011591399999929308
14,16,8,maximize-smallest-sum,False,16,0.011985399999957735
14,16,9,minimize-largest-sum,False,11,0.012558800000078918
14,16,9,maximize-smallest-sum,False,15,0.012485200000014629
14,20,0,minimize-largest-sum,False,227,0.012521300000003066
14,20,0,maximize-smallest-sum,False,189,0.013751500000012129
14,20,1,minimize-largest-sum,False,350,0.01239470000007259
14,20,1,maximize-smallest-sum,False,201,0.01233029999991686
14,20,2,minimize-largest-sum,False,137,0.012229200000092533
14,20,2,maximize-smallest-sum,False,21,0.013598900000033609
14,20,3,minimize-largest-sum,False,1141,0.012445400000046902
14,20,3,maximize-smallest-sum,False,1402,0.01224539999998342
14,20,4,minimize-largest-sum,False,174,0.012621200000012323
14,20,4,maximize-smallest-sum,False,625,0.012620900000001711
14,20,5,minimize-largest-sum,False,245,0.012544800000000578
14,20,5,maximize-smallest-sum,False,688,0.012474399999973684
14,20,6,minimize-largest-sum,False,41,0.012421099999983198
14,20,6,maximize-smallest-sum,False,26,0.012432800000055977
14,20,7,minimize-largest-sum,False,195,0.012734600000044338
14,20,7,maximize-smallest-sum,False,1095,0.012543499999992491
14,20,8,minimize-largest-sum,False,28,0.01267700000005334
14,20,8,maximize-smallest-sum,False,204,0.012470300000018142
14,20,9,minimize-largest-sum,False,163,0.011954599999967286
14,20,9,maximize-smallest-sum,False,30,0.012569299999995565
16,4,0,minimize-largest-sum,False,0,0.0004812999999330714
16,4,0,minimize-largest-sum,True,1,0.022858400000018264
16,4,0,maximize-smallest-sum,False,0,0.0006134999999858337
16,4,0,maximize-smallest-sum,True,0,0.026084800000035102
16,4,1,minimize-largest-sum,False,1,0.0005291999999599284
16,4,1,minimize-largest-sum,True,1,0.025710400000093614
16,4,1,maximize-smallest-sum,False,0,0.0004996000000119238
16,4,1,maximize-smallest-sum,True,1,0.011839799999961542
16,4,2,minimize-largest-sum,False,1,0.0005803999999898224
16,4,2,minimize-largest-sum,True,0,0.01733000000001539
16,4,2,maximize-smallest-sum,False,1,0.0005797000000029584
16,4,2,maximize-smallest-sum,True,1,0.01971949999995104
16,4,3,minimize-largest-sum,False,1,0.0005254000000149972
16,4,3,minimize-largest-sum,True,0,0.018239199999925404
16,4,3,maximize-smallest-sum,False,1,0.0005436000000145214
16,4,3,maximize-smallest-sum,True,1,0.025381499999980406
16,4,4,minimize-largest-sum,False,0,0.0005361999999422551
16,4,4,minimize-largest-sum,True,1,0.02051979999998821
16,4,4,maximize-smallest-sum,False,0,0.0005210000000488435
16,4,4,maximize-smallest-sum,True,1,0.018355999999926098
16,4,5,minimize-largest-sum,False,1,0.0005642999999508902
16,4,5,minimize-largest-sum,True,1,0.01302259999999933
16,4,5,maximize-smallest-sum,False,1,0.00048100000003614696
16,4,5,maximize-smallest-sum,True,0,0.011395699999980025
16,4,6,minimize-largest-sum,False,0,0.0005742999999256426
16,4,6,minimize-largest-sum,True,1,0.016459100000020044
16,4,6,maximize-smallest-sum,False,0,0.0006187000000181797
16,4,6,maximize-smallest-sum,True,1,0.020300700000007055
16,4,7,minimize-largest-sum,False,0,0.000481500000091728
16,4,7,minimize-largest-sum,True,0,0.028991800000085277
16,4,7,maximize-smallest-sum,False,1,0.0006593000000520988
16,4,7,maximize-smallest-sum,True,0,0.01217589999998836
16,4,8,minimize-largest-sum,False,1,0.000556699999947341
16,4,8,minimize-largest-sum,True,1,0.021744599999919956
16,4,8,maximize-smallest-sum,False,0,0.0005947999999307285
16,4,8,maximize-smallest-sum,True,1,0.03020209999999679
16,4,9,minimize-largest-sum,False,0,0.0005995000000211803
16,4,9,minimize-largest-sum,True,1,0.01197700000000168
16,4,9,maximize-smallest-sum,False,1,0.0005715999999438282
16,4,9,maximize-smallest-sum,True,1,0.017068699999981618
16,8,0,minimize-largest-sum,False,1,0.005627399999980298
