algorithm,numbins,numitems,bitsperitem,instance_id,runtime,diff
integer-programming,2,70,16,0,0.9690140000000014,0.0
integer-programming,2,70,16,1,0.1338027999999997,9.56630212678029e-07
integer-programming,2,70,16,2,0.2086925999999991,0.0
integer-programming,2,70,16,3,0.1478765000000006,7.847457972938826e-07
integer-programming,2,70,16,4,0.2235510000000005,7.685650736362197e-07
integer-programming,2,70,16,5,0.2688335999999989,8.684241835292933e-07
integer-programming,2,80,16,0,0.1720072000000012,8.124070809401174e-07
integer-programming,2,80,16,1,0.3978033000000014,7.865759797000471e-07
integer-programming,2,80,16,2,0.3295675000000013,8.576196936925501e-07
integer-programming,2,80,16,3,0.3907939000000002,8.091190958579575e-07
integer-programming,2,80,16,4,0.3691940999999996,8.029800194481761e-07
integer-programming,2,80,16,5,0.1730958999999998,8.552483598474579e-07
integer-programming,2,20,32,1,4.394354,3.190073663172243e-08
integer-programming,2,20,32,2,1.7256020000000003,1.9879642757843148e-06
integer-programming,2,20,32,3,1.4534237,2.161839479294405e-06
integer-programming,2,20,32,4,1.6721184000000004,9.110991529525992e-07
integer-programming,2,20,32,5,1.2703948999999994,1.3968157255967077e-06
integer-programming,2,20,32,6,1.1542168999999998,1.647377538329231e-07
integer-programming,2,20,32,7,1.5647049000000006,4.047223705078764e-06
integer-programming,2,20,32,8,7.6403245,1.8545690418288186e-07
integer-programming,2,20,32,9,1.1692254999999996,5.620872004828144e-07
integer-programming,2,20,48,0,2.8374713000000007,9.344684145199074e-07
integer-programming,2,20,48,1,3.507883,2.6724485135932e-07
integer-programming,2,20,48,2,0.9535049999999998,2.661477400351964e-07
integer-programming,2,20,48,3,4.063548500000003,1.5190516796688188e-06
integer-programming,2,20,48,4,2.0351596,1.7319907842641274e-06
integer-programming,2,20,48,5,1.312690400000001,1.358187241774212e-06
integer-programming,2,20,48,6,4.689281599999994,5.692801655491267e-07
integer-programming,2,20,48,7,1.0633511999999996,5.063652210949444e-07
integer-programming,2,20,48,8,1.0390329000000025,1.6021006698900454e-06
integer-programming,2,20,48,9,0.9993651999999996,2.2186815448838365e-07
integer-programming,2,30,32,0,5324.4557254,3.154503185526226e-09
integer-programming,2,50,16,7,0.0186093000002074,0.0
integer-programming,2,50,16,8,0.7819337000000814,0.0
integer-programming,2,50,16,9,0.1344924000004539,0.0
integer-programming,2,60,16,6,0.4260500999998839,9.618436619311896e-07
integer-programming,2,60,16,7,0.3062861999997039,0.0
integer-programming,2,60,16,8,0.9061224999995828,1.0445718822140746e-06
integer-programming,2,60,16,9,0.1404682000002139,0.0
integer-programming,2,70,16,6,0.0263819000001603,8.860401712892859e-07
integer-programming,2,70,16,7,0.226992899999459,0.0
integer-programming,2,70,16,8,0.0436884999999165,9.41998336430938e-07
integer-programming,2,70,16,9,1.201495400000567,8.608504169098569e-07
integer-programming,2,80,16,6,0.482277800000702,7.471289701499562e-07
integer-programming,2,80,16,7,0.3092851999999766,0.0
integer-programming,2,80,16,8,1.0774205999996411,0.0
integer-programming,2,80,16,9,0.1989236999997956,0.0
integer-programming,2,90,16,0,0.3999514000006456,7.005788883354316e-07
integer-programming,2,90,16,1,0.0680413000000044,0.0
integer-programming,2,90,16,2,0.1791242999997848,6.57596655200373e-07
integer-programming,2,90,16,3,0.2267389999997249,6.569369918592368e-07
